"293","617","8","","3883","","Bischoff, Kat., no. 3883."
"168","623","8","","2055","","Bischoff, Kat., no. 2055."
"252","638","8","","3183","","Bischoff, Kat., no. 3183."
"278","641","8","","3667","","Bischoff, Kat., no. 3667."
"300","654","8",".3","","","Bischoff, Kat., [vol. 3]."
"304","657","8",".3","","","Bischoff, Kat., [vol. 3]."
"397","666","8",".3","","","Bischoff, Kat., [vol. 3]."
"398","667","8",".3","","","Bischoff, Kat., [vol. 3]."
"584","671","58","53","","","Kendall and Wallis 2010, 53."
"410","672","8",".3","","","Bischoff, Kat., [vol. 3]."
"413","674","8",".3","","","Bischoff, Kat., [vol. 3]."
"415","675","8",".3","","","Bischoff, Kat., [vol. 3]."
"214","716","8","","2528","","Bischoff, Kat., no. 2528."
"221","721","8","","2554","","Bischoff, Kat., no. 2554."
"257","727","8","","3261","","Bischoff, Kat., no. 3261."
"378","741","8",".3","","","Bischoff, Kat., [vol. 3]."
"453","747","8",".3","","","Bischoff, Kat., [vol. 3]."
"566","749","56","13637","","","Knibbs 2008, 136-37."
"272","754","8","","3614","","Bischoff, Kat., no. 3614."
"344","756","8",".3","","","Bischoff, Kat., [vol. 3]."
"90","766","8","","802","","Bischoff, Kat., no. 802."
"536","783","37","56","","","Ker MMBL v. 1, 56."
"247","785","8","","3134","","Bischoff, Kat., no. 3134."
"330","804","8",".3","","","Bischoff, Kat., [vol. 3]."
"329","805","8",".3","","","Bischoff, Kat., [vol. 3]."
"357","810","8",".3","","","Bischoff, Kat., [vol. 3]."
"414","818","8",".3","","","Bischoff, Kat., [vol. 3]."
"83","833","8","","660","","Bischoff, Kat., no. 660."
"154","845","8","","1689","","Bischoff, Kat., no. 1689."
"251","857","8","","3173","","Bischoff, Kat., no. 3173."
"33","861","1","","571","number(s)","Gneuss, Handlist, no. 571."
"34","862","1","","578.5","number(s)","Gneuss, Handlist, no. 578.5."
"35","863","1","","580","number(s)","Gneuss, Handlist, no. 580."
"36","871","1","","690","","Gneuss, Handlist, no. 690."
"37","885","1","","749-749.5","number(s)","Gneuss, Handlist, no. 749-749.5."
