"128","59","In Prouerbia Salemonis","17","","","","","","","","1"
"129","59","In Regum librum XXX quaestiones","20","","","","","","","","1"
"130","59","In Cantica Canticorum","5","","","","","","","","1"
"131","59","De tabernaculo","22","","","","","","","","1"
"132","59","De templo","23","","","","","","","","1"
"133","59","De locis sanctis","26","","","","","","","","1"
"134","59","Epistula ad Pleguinum","35","","","","","","","","1"
"135","60","Expositio Actuum Apostolorum","1","","","","","","","","1"
"136","61","Expositio Actuum Apostolorum","1","","","","","","","","1"
"137","62","Expositio Actuum Apostolorum","1","","","","","","","","1"
"138","62","Expositio Apocalypseos","4","fols. 50-115","","","","","","","1"
"139","63","Expositio Actuum Apostolorum","1","","","","","","","","1"
"140","63","In epistulas VII catholicas","7","fols. 124-183","","","","","","","1"
"141","63","In Marci euangelium expositio","15","fols. 1-94","","","","","","","1"
"142","64","Expositio Actuum Apostolorum","1","","","","","","","","1"
"143","65","Expositio Actuum Apostolorum","1","","","","","","","","1"
"144","65","Expositio Apocalypseos","4","fols. 89v-130","","","","","","","1"
"145","65","In epistulas VII catholicas","7","fols. 31-89","","","","","","","1"
"146","66","Expositio Actuum Apostolorum","1","","","","","","","","1"
"147","67","Expositio Actuum Apostolorum","1","","","","","","","","1"
"148","67","In epistulas VII catholicas","7","179-204","","","","","3","","1"
"149","67","In Lucae euangelium expositio","14","","","","","","","","1"
"150","67","In Marci euangelium expositio","15","131-166","","","","","2","","1"
"151","67","In Prouerbia Salemonis","17","227-252","","","","","5","","1"
"152","67","De tabernaculo","22","204-227","","","","","4","","1"
"153","67","Homiliae euangelii","37","","","","","","","","1"
"154","68","Expositio Actuum Apostolorum","1","","","","","","","1","1"
"155","69","Expositio Actuum Apostolorum","1","","","","","","","","1"
"156","69","Expositio Apocalypseos","4","fols. 82-140","","","","","","","1"
"157","70","Expositio Actuum Apostolorum","1","","","","","","","","1"
"158","71","Expositio Actuum Apostolorum","1","","","","","","","","1"
"159","71","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"160","71","In epistulas VII catholicas","7","fols. 26-76","","","","","","","1"
"161","72","Expositio Actuum Apostolorum","1","293a-305a","","","","","","","1"
"162","73","Expositio Actuum Apostolorum","1","114a-155a","","","","","1","","1"
"163","73","Retractatio in Actus Apostolorum","3","155b-180a","","","","","2","","1"
"164","74","Expositio Actuum Apostolorum","1","","","","","","","","1"
"165","74","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"166","75","Expositio Actuum Apostolorum","1","","","","","","1","","1"
"167","75","Retractatio in Actus Apostolorum","3","","","","","","2","","1"
"168","75","In epistulas VII catholicas","7","98-171","","","","","3","","1"
"169","75","Expositio Apocalypseos","4","171v","","","","","4","1","1"
"170","76","Expositio Actuum Apostolorum","1","","","","","","","","1"
"171","76","Expositio Apocalypseos","4","fols. 56v~98","","","","","","","1"
"172","77","Expositio Actuum Apostolorum","1","","","","","","","","1"
"173","77","Expositio Apocalypseos","4","pp. 156-303","","","","","","","1"
"174","78","Expositio Actuum Apostolorum","1","","","","","","","","1"
"175","78","Expositio Apocalypseos","4","pp. 179-390","","","","","","","1"
"176","79","Expositio Actuum Apostolorum","1","","","","","","","","1"
"177","79","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"178","79","In Prouerbia Salemonis","17","","","","","","","","1"
"179","80","Expositio Actuum Apostolorum","1","","","","","","","","1"
"180","81","Expositio Actuum Apostolorum","1","","","","","","","","1"
"181","81","Expositio Apocalypseos","4","fols. 1-84","","","","","","","1"
"182","82","Expositio Actuum Apostolorum","1","","","","","","","","1"
"183","82","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"184","83","Expositio Actuum Apostolorum","1","","","","","","","","1"
"185","83","In epistulas VII catholicas","7","fols. 124-205","","","","","","","1"
"186","84","Expositio Actuum Apostolorum","1","1-80","","","","","","","1"
"187","85","Expositio Actuum Apostolorum","1","","","","","","","","1"
"188","86","Expositio Actuum Apostolorum","1","","","","","","","","1"
"189","86","Expositio Apocalypseos","4","","","","","","","","1"
"190","86","In epistulas VII catholicas","7","fols. 88-147","","","","","2","","1"
"191","86","In Marci euangelium expositio","15","fols. 1-84","","","","","1","","1"
"192","87","Expositio Actuum Apostolorum","1","","","","","","2","","1"
"193","87","Expositio Apocalypseos","4","175v-213r","","","","","3","","1"
"194","87","In epistulas VII catholicas","7","41r-128r","","","","","1","","1"
"195","88","Expositio Actuum Apostolorum","1","","","","","","","","1"
"196","88","Expositio Apocalypseos","4","","","","","","","","1"
"197","88","In epistulas VII catholicas","7","","","","","","","","1"
"198","88","In Regum librum XXX quaestiones","20","","","","","","","","1"
"199","88","De templo","23","","","","","","","","1"
"200","89","Expositio Actuum Apostolorum","1","","","","","","","","1"
"201","89","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"202","89","Expositio Apocalypseos","4","76v-113v","","","","","2","","1"
"203","89","In Cantica Canticorum","5","2v-76v","","","","","1","","1"
"204","89","De locis sanctis","26","171-176","","","","","3","","1"
"205","90","Expositio Actuum Apostolorum","1","","","","","","","","1"
"206","90","Retractatio in Actus Apostolorum","3","","","","","","","","1"
"207","91","Expositio Actuum Apostolorum","1","","","","","","","","1"
"208","91","Expositio Apocalypseos","4","","","","","","","","1"
"209","91","In epistulas VII catholicas","7","","","","","","","","1"
"210","91","In Marci euangelium expositio","15","","","","","","","","1"
"211","92","Expositio Actuum Apostolorum","1","128-199","","","","","2","","1"
"212","92","Expositio Apocalypseos","4","88-127","","","","","1","","1"
"213","93","Expositio Actuum Apostolorum","1","","","","","","","","1"
"214","94","Expositio Actuum Apostolorum","1","","","","","","","","1"
