id,work,text_type,excluded?,repo_id,shelfmark,notes,citation,support,length,numbered_by,,,blank,binding,fragment?,,,dating,cent_begin,cent_end,year_begin,year_end,origin_country,origin_place,provenance,intials,timestamp,,,lk_entry,sm_alpha_part,sm_num_part,sm_suffix,sm_joined,lk_pages,references,locale_opinions
1070,Loc.sanct.,,,109,3851,,"Vatican City, Vatican Library, 3851",,,,,,,,,15,91,s. xv,15,15,1401,1500,,,,,7/20/2012 12:10:49,1,0,"Vatican City, Vatican Library, 3851 (s. xv).",,3851,,3851,85,,
1071,Loc.sanct.,,,94,lat. 580,,"Vienna, Österreichische Nationalbibliothek, lat. 580",,fols. 10-19v,,,,,,,11,43,s. xi,11,11,1001,1200,,,,,7/20/2012 14:26:52,2,0,"Vienna, Österreichische Nationalbibliothek, lat. 580 (s. xi).",lat.,580,,lat. 580,"86, 148","Geyer 1975, 250.",
1072,Loc.sanct.,,,94,lat. 2432,,"Vienna, Österreichische Nationalbibliothek, lat. 2432",,,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 14:13:29,1,0,"Vienna, Österreichische Nationalbibliothek, lat. 2432 (s. xi).",lat.,2432,,lat. 2432,86,,Hohendorf
1073,Vit.Fel.,,,26,24,L-K date this s. xi in.,"Bern, Burgerbibliothek, 24",,fols. 34v-38,,,,,,,11,54,s. xi-xii,11,12,1076,1125,France,Metz or surrounding region,,,7/20/2012 12:10:49,1,0,"Bern, Burgerbibliothek, 24 (s. xi-xii, Metz or surrounding region).",,24,,24,87,"Mackay 1972, xci.",France; Metz or surrounding region
1074,Vit.Fel.,,,10,Harley 2800,"With Harley 2801 and 2802, constitutes the “Arnstein Passional”. Mackay’s MS H.","London, British Library, Harley 2800",,,folios,,,,,,1315,67,s. xiii,13,13,1201,1300,Germany,Arnstein Abbey (OPrem),,,7/20/2012 14:13:21,1,0,"London, British Library, Harley 2800 (s. xiii, Arnstein Abbey (OPrem)).",Harley,2800,,Harley 2800,87,,Germany; Arnstein Abbey (OPrem); Arnstein
1075,Vit.Fel.,,,85,2,L-K date this MS s. xii.,"Montpellier, Bibliothèque de la Faculté de Médecine, 2",,,folios,,,,,,12,68,s. xiiiin,13,13,1201,1225,France,Clairvaux,,,7/20/2012 12:10:49,1,0,"Montpellier, Bibliothèque de la Faculté de Médecine, 2 (s. xiiiin, Clairvaux).",,2,,2,87,,France; Clairvaux; Clairvaux
1076,Vit.Fel.,,,81,lat. 5308,,"Paris, Bibliothèque nationale de France, lat. 5308",,,folios,,,,,,12,65,s. xiiex,12,12,1176,1200,France,Metz,,,7/20/2012 14:13:26,1,0,"Paris, Bibliothèque nationale de France, lat. 5308 (s. xiiex, Metz).",lat.,5308,,lat. 5308,87,,France; Metz
1077,Vit.Cuthb.metr.,,,27,186,,"Besançon, Bibliothèque municipale, 186",parchment,,folios,,,,,,9,24,s. ixmed,9,9,826,875,Germany,W. Germany,,,7/20/2012 12:10:49,4,0,"Besançon, Bibliothèque municipale, 186 (s. ixmed, W. Germany).",,186,,186,"88, 140, 148, 155","Bischoff, Kat., no. 626.",Germany; W. Germany
1079,Vit.Cuthb.metr.,,,43,183,,"Cambridge, Corpus Christi College, 183",parchment,,folios,,,,,,10,35,s. x2/4,10,10,926,950,UK (England),Wessex,,,7/20/2012 12:10:49,2,0,"Cambridge, Corpus Christi College, 183 (s. x2/4, Wessex).",,183,,183,"88, 89","Colgrave 1940, 20.",UK (England); Wessex; Durham; Durham
1080,Vit.Cuthb.metr.,,,49,O. 2. 24 (James 1128),,"Cambridge, Trinity College, O. 2. 28 (James 1128)",,,folios,,,,,,1112,54,s. xi-xii,11,12,1076,1125,UK (England),"Rochester or Christ Church, Canterbury",,,7/24/2012 17:08:40,2,0,"Cambridge, Trinity College, O. 2. 28 (James 1128) (s. xi-xii, Rochester or Christ Church, Canterbury).",O. 2.,28,(James 1128),O. 2. 28 (James 1128),"88, 132",,"UK (England); Rochester or Christ Church, Canterbury; Rochester; Rochester"
1081,Vit.Cuthb.metr.,,,131,G. K. S. 2034,,"Copenhagen, Kongelige Bibliotek, G. K. S. 2034",parchment,,,,,,,,1011,42,s. x-xi,10,11,976,1025,UK (England),English,,,7/25/2012 14:07:45,1,0,"Copenhagen, Kongelige Bibliotek, G. K. S. 2034 (s. x-xi, English).",G. K. S.,2034,,G. K. S. 2034,88,,UK (England); English
1082,Vit.Cuthb.metr.,,,10,Add. 28696,,"London, British Library, Add. 28696",paper,,folios,,,,,,16,103,s. xvi,16,16,1501,1600,UK (England),England?,,,7/20/2012 14:13:21,1,0,"London, British Library, Add. 28696 (s. xvi, England?).",Add.,28696,,Add. 28696,88,,UK (England); England?
1083,Vit.Cuthb.metr.,,,10,Cotton Vitellius A. xix,,"London, British Library, Cotton Vitellius A. 0",parchment,,folios,,,,,,10,36,s. xmed,10,10,926,975,UK (England),"prov. St. Augustine’s, Canterbury",,,7/25/2012 14:09:07,2,0,"London, British Library, Cotton Vitellius A. 0 (s. xmed, prov. St. Augustine’s, Canterbury).",Cotton Vitellius A.,0,,Cotton Vitellius A. 0,"88, 90",,"UK (England); prov. St. Augustine’s, Canterbury; English"
1084,Vit.Cuthb.metr.,,,10,Harley 526,,"London, British Library, Harley 526",parchment,,folios,,,,,,9,29,s. ixex,9,9,876,900,Germany,NE Francia,,,7/20/2012 14:13:21,1,0,"London, British Library, Harley 526 (s. ixex, NE Francia).",Harley,526,,Harley 526,88,,Germany; NE Francia
1085,Vit.Cuthb.metr.,,,10,Harley 1117,,"London, British Library, Harley 1117",parchment,,folios,,,,,,1011,42,s. x-xi,10,11,976,1025,UK (England),"Christ Church, Canterbury",,,7/20/2012 14:13:21,2,0,"London, British Library, Harley 1117 (s. x-xi, Christ Church, Canterbury).",Harley,1117,,Harley 1117,"88, 90",,"UK (England); Christ Church, Canterbury"
1086,Vit.Cuthb.metr.,,,10,Harley 4843,,"London, British Library, Harley 4843",paper,,folios,,,,,,16,103,s. xvi,16,16,1501,1600,UK (England),Durham,,,7/20/2012 14:07:33,2,0,"London, British Library, Harley 4843 (s. xvi, Durham).",Harley,4843,,Harley 4843,"88, 90",,UK (England); Durham; Durham; Durham
1087,Vit.Cuthb.metr.,,,67,Clm 19451,,"Munich, Bayerische Staatsbibliothek, Clm 19451",parchment,,pages,,,,,,11,47,s. xi2/4,11,11,1026,1050,Germany,Tegernsee,,,7/20/2012 14:09:14,2,0,"Munich, Bayerische Staatsbibliothek, Clm 19451 (s. xi2/4, Tegernsee).",Clm,19451,,Clm 19451,"88, 124",,Germany; Tegernsee; Tegernsee
1088,Vit.Cuthb.metr.,,,70,Bodley 109,,"Oxford, Bodleian Library, Bodley 109",parchment,,,,,,,,1011,42,s. x-xi,10,11,976,1025,UK (England),"St. Augustine’s, Canterbury",,,7/20/2012 14:26:52,2,0,"Oxford, Bodleian Library, Bodley 109 (s. x-xi, St. Augustine’s, Canterbury).",Bodley,109,,Bodley 109,"88, 90",,"UK (England); St. Augustine’s, Canterbury"
1089,Vit.Cuthb.metr.,,,70,Bodley 596,,"Oxford, Bodleian Library, Bodley 596",parchment,,folios,,,,,,1112,54,s. xi-xii,11,12,1076,1125,UK (England),Durham,,,7/20/2012 14:13:24,2,0,"Oxford, Bodleian Library, Bodley 596 (s. xi-xii, Durham).",Bodley,596,,Bodley 596,"88, 90",,"UK (England); Durham; St Augustine’s, Canterbury; St Augustine’s, Canterbury"
1090,Vit.Cuthb.metr.,,,70,Digby 175,,"Oxford, Bodleian Library, Digby 175",parchment,,folios,,,,,,1112,54,s. xi-xii,11,12,1076,1125,UK (England),Durham,,,7/20/2012 14:13:24,3,0,"Oxford, Bodleian Library, Digby 175 (s. xi-xii, Durham).",Digby,175,,Digby 175,"88, 90, 105",,UK (England); Durham; Durham?
1091,Vit.Cuthb.metr.,,,70,Fairfax 6,,"Oxford, Bodleian Library, Fairfax 6",parchment,,folios,,,,,,14,89,s. xivex,14,14,1376,1400,UK (England),Durham,,,7/20/2012 14:11:32,4,0,"Oxford, Bodleian Library, Fairfax 6 (s. xivex, Durham).",Fairfax,6,,Fairfax 6,"88, 90, 106, 113",,UK (England); Durham; Durham; Durham
1092,Vit.Cuthb.metr.,,,81,lat. 2825,,"Paris, Bibliothèque nationale de France, lat. 2825",parchment,,folios,,,,,,10,30,s. ix-x,9,10,876,925,Germany,NE Francia,,,7/20/2012 14:33:17,1,0,"Paris, Bibliothèque nationale de France, lat. 2825 (s. ix-x, NE Francia).",lat.,2825,,lat. 2825,89,,Germany; NE Francia
1093,Vit.Cuthb.metr.,,,81,lat. 18318,,"Paris, Bibliothèque nationale de France, lat. 18318",paper,,folios,,,,,,15,103,s. xvi,16,16,1501,1600,France,France?,,,7/20/2012 14:26:52,1,0,"Paris, Bibliothèque nationale de France, lat. 18318 (s. xvi, France?).",lat.,18318,,lat. 18318,89,,France; France?
1094,Vit.Cuthb.metr.,,False,95,263,,"St. Gall, Stiftsbibliothek, 263",parchment,220 pp.,pages,1,"20-25, once 38",,,,10,22,s. ix1,9,9,801,850,Switzerland,St. Gallen,,,7/20/2012 12:10:49,1,0,"St. Gall, Stiftsbibliothek, 263 (s. ix1, St. Gallen).",,263,,263,89,"Bischoff, Kat., [vol. 3].",Switzerland; St. Gallen; St Gall
1095,Vit.Cuthb.metr.,,,95,265,"The Bede poems are arranged in long poetic lines with caesura, giving the appearance of two columns.","St. Gall, Stiftsbibliothek, 265",parchment,124 pp.,pages,1,23,,,,10,24,s. ixmed,9,9,826,875,Switzerland,St. Gallen,,,7/20/2012 12:10:49,3,41122,"St. Gall, Stiftsbibliothek, 265 (s. ixmed, St. Gallen).",,265,,265,"89, 123, 124","Bischoff, Kat., [vol. 3].",Switzerland; St. Gallen; St Gall
1096,Vit.Cuthb.metr.,,,109,Reg. lat. 204,,"Vatican City, Vatican Library, Reg. lat. 204",parchment,,,,,,,,11,44,s. xiin,11,11,1001,1025,UK (England),"St. Auigustine’s, Canterbury",,,7/20/2012 14:35:03,1,0,"Vatican City, Vatican Library, Reg. lat. 204 (s. xiin, St. Auigustine’s, Canterbury).",Reg. lat.,204,,Reg. lat. 204,89,,"UK (England); St. Auigustine’s, Canterbury; Bonneval"
1097,Vit.Cuthb.pr.,,,26,392,,"Bern, Burgerbibliothek, 392",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Bern, Burgerbibliothek, 392 (s. xii).",,392,,392,89,,"St Victor, Paris"
1098,Vit.Cuthb.pr.,,,147,353,,"Brussels, Bibliothèque des Bollandistes, 353",,,,,,,,,1213,66,s. xii-xiii,12,13,1176,1225,,,,,7/20/2012 12:10:49,1,0,"Brussels, Bibliothèque des Bollandistes, 353 (s. xii-xiii).",,353,,353,89,,
1099,Vit.Cuthb.pr.,,,149,816,,"Cambrai, Bibliothèque municipale, 816",,,,,,,,,15,91,s. xv,15,15,1401,1500,,,,,7/20/2012 12:10:49,1,0,"Cambrai, Bibliothèque municipale, 816 (s. xv).",,816,,816,89,,St Sépulcre
1101,Vit.Cuthb.pr.,,,49,1088,,"Cambridge, Trinity College, 1088",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Cambridge, Trinity College, 1088 (s. xii).",,1088,,1088,89,,Coventry
1102,Vit.Cuthb.pr.,,,49,1227,,"Cambridge, Trinity College, 1227",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,2,0,"Cambridge, Trinity College, 1227 (s. xii).",,1227,,1227,"89, 105",,Durham and Lindisfarne; Durham; Lindisfarne
1103,Vit.Cuthb.pr.,,,157,752,,"Darmstadt, Universitäts- und Landesbibliothek, 752",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Darmstadt, Universitäts- und Landesbibliothek, 752 (s. xii).",,752,,752,89,,Grafschaft
1104,Vit.Cuthb.pr.,,,50,574,,"Dijon, Bibliothèque municipale, 574",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,2,0,"Dijon, Bibliothèque municipale, 574 (s. xii).",,574,,574,"89, 96",,Cîteaux; Cîteaux
1105,Vit.Cuthb.pr.,,,50,657,,"Dijon, Bibliothèque municipale, 657",,,,,,,,,13,70,s. xiii1,13,13,1201,1250,,,,,7/20/2012 12:10:49,2,0,"Dijon, Bibliothèque municipale, 657 (s. xiii1).",,657,,657,"89, 105",,English
1106,Vit.Cuthb.pr.,,,54,A IV 35,,"Durham, Cathedral Library, A IV 35",,,,,,,,,12,63,s. xii (2),12,12,1151,1200,,,,,7/20/2012 14:35:03,1,0,"Durham, Cathedral Library, A IV 35 (s. xii2).",A IV,35,,A IV 35,89,,Durham
1107,Vit.Cuthb.pr.,,,57,1.81,,"Gotha, Forschungsbibliothek, 1.81",,,,,,,,,14,87,s. xiv2,14,14,1351,1400,,,,,7/26/2012 19:21:55,1,0,"Gotha, Forschungsbibliothek, 1.81 (s. xiv2).",,1.81,,1.81,89,,
1108,Vit.Cuthb.pr.,,,173,163 bis,,"Laon, Bibliothèque municipale, 163 bis",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:13:20,2,0,"Laon, Bibliothèque municipale, 163 bis (s. xii).",,163,bis,163 bis,"89, 105",,Vauclair; Vauclair
1109,Vit.Cuthb.pr.,,,181,B i 9,,"Lincoln, Cathedral Library, B i 9",,,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 14:35:03,1,0,"Lincoln, Cathedral Library, B i 9 (s. xiii).",B i,9,,B i 9,89,,
1110,Vit.Cuthb.pr.,,,10,Add. 35110,,"London, British Library, Add. 35110",,,,,,,,,12,63,s. xii2,12,12,1151,1200,,,,,7/20/2012 14:13:21,3,0,"London, British Library, Add. 35110 (s. xii2).",Add.,35110,,Add. 35110,"90, 105, 111",,Newcastle; Newcastle
1111,Vit.Cuthb.pr.,,,10,Add. 39943 (Yates Thompson 26),,"London, British Library, Add. 39943 (Yates Thompson 26)",,,,,,,,,12,63,s. xii (2),12,12,1151,1200,UK (England),Durham,,,7/24/2012 18:02:59,1,0,"London, British Library, Add. 39943 (Yates Thompson 26) (s. xii2, Durham).",Add.,39943,(Yates Thompson 26),Add. 39943 (Yates Thompson 26),90,,UK (England); Durham
1112,Vit.Cuthb.pr.,,,10,Arundel 222,,"London, British Library, Arundel 222",,,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 14:13:21,1,0,"London, British Library, Arundel 222 (s. xiii).",Arundel,222,,Arundel 222,90,,
1113,Vit.Cuthb.pr.,,,10,Arundel 332,,"London, British Library, Arundel 332",,,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 14:07:20,1,0,"London, British Library, Arundel 332 (s. xiii).",Arundel,332,,Arundel 332,90,,Durham
1114,Vit.Cuthb.pr.,,,10,Cotton Claudius A. i,,"London, British Library, Cotton Claudius A. 0",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/25/2012 14:09:07,1,0,"London, British Library, Cotton Claudius A. 0 (s. xii).",Cotton Claudius A.,0,,Cotton Claudius A. 0,90,,
1115,Vit.Cuthb.pr.,,,10,Cotton Otho D. viii,,"London, British Library, Cotton Otho D. 0",,,,,,,,,12,63,s. xii (2),12,12,1151,1200,,,,,7/25/2012 14:09:07,1,0,"London, British Library, Cotton Otho D. 0 (s. xii2).",Cotton Otho D.,0,,Cotton Otho D. 0,90,,"Christ Church, Canterbury"
1116,Vit.Cuthb.pr.,,,10,Cotton Vitellius A. xix,,"London, British Library, Cotton Vitellius A. 0",,,,,,,,,10,,,,,,,,,,,7/25/2012 14:09:07,,,"London, British Library, Cotton Vitellius A. 0 ().",Cotton Vitellius A.,0,,Cotton Vitellius A. 0,,,
1118,Vit.Cuthb.pr.,,,10,Harley 1924,,"London, British Library, Harley 1924",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:13:21,1,0,"London, British Library, Harley 1924 (s. xii).",Harley,1924,,Harley 1924,90,,Durham?
1120,Vit.Cuthb.pr.,,,85,15,,"Montpellier, Bibliothèque de la Faculté de Médecine, 15",,,,,,,,,12,63,s. xii (2),12,12,1151,1200,,,,,7/20/2012 12:10:49,1,0,"Montpellier, Bibliothèque de la Faculté de Médecine, 15 (s. xii2).",,15,,15,90,,Clairvaux
1123,Vit.Cuthb.pr.,,,70,Digby 20,,"Oxford, Bodleian Library, Digby 20",,,,,,,,,12,58,s. xii (1),12,12,1101,1150,,,,,7/20/2012 14:11:24,1,0,"Oxford, Bodleian Library, Digby 20 (s. xii1).",Digby,20,,Digby 20,90,,
1124,Vit.Cuthb.pr.,,,70,Digby 59,,"Oxford, Bodleian Library, Digby 59",,,,,,,,,12,63,s. xii2,12,12,1151,1200,,,,,7/20/2012 14:13:24,2,0,"Oxford, Bodleian Library, Digby 59 (s. xii2).",Digby,59,,Digby 59,"90, 108",,
1127,Vit.Cuthb.pr.,,,70,Fell 3,,"Oxford, Bodleian Library, Fell 3",,,,,,,,,1112,54,s. xi-xii,11,12,1076,1125,,,,,7/20/2012 14:13:24,1,0,"Oxford, Bodleian Library, Fell 3 (s. xi-xii).",Fell,3,,Fell 3,90,,Salisbury
1128,Vit.Cuthb.pr.,,,70,Laud. Misc. 491,,"Oxford, Bodleian Library, Laud. Misc. 491",,,,,,,,,12,63,s. xii2,12,12,1151,1200,,,,,7/20/2012 14:35:03,2,0,"Oxford, Bodleian Library, Laud. Misc. 491 (s. xii2).",Laud. Misc.,491,,Laud. Misc. 491,"90, 105",,Durham
1129,Vit.Cuthb.pr.,,,200,165,,"Oxford, University College, 165",,,,,,,,,12,58,s. xii (1),12,12,1101,1150,,,,,7/20/2012 12:10:49,1,0,"Oxford, University College, 165 (s. xii1).",,165,,165,90,,
1130,Vit.Cuthb.pr.,,,81,lat. 2475,,"Paris, Bibliothèque nationale de France, lat. 2475",,,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 14:13:26,1,0,"Paris, Bibliothèque nationale de France, lat. 2475 (s. xiii).",lat.,2475,,lat. 2475,90,,English?
1131,Vit.Cuthb.pr.,,,81,lat. 5348,,"Paris, Bibliothèque nationale de France, lat. 5348",,,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 14:13:26,2,0,"Paris, Bibliothèque nationale de France, lat. 5348 (s. xiii).",lat.,5348,,lat. 5348,"90, 104",,English?
1132,Vit.Cuthb.pr.,,,81,lat. 5362,,"Paris, Bibliothèque nationale de France, lat. 5362",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:26:52,2,0,"Paris, Bibliothèque nationale de France, lat. 5362 (s. xii).",lat.,5362,,lat. 5362,"90, 105",,English
1133,Vit.Cuthb.pr.,,,109,Reg. lat. 483,,"Vatican City, Vatican Library, Reg. lat. 483",,,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 14:35:03,2,0,"Vatican City, Vatican Library, Reg. lat. 483 (s. xiii).",Reg. lat.,483,,Reg. lat. 483,"90, 105",,French
1134,Vit.Cuthb.pr.,,,94,lat. 9394,,"Vienna, Österreichische Nationalbibliothek, lat. 9394",,,,,,,,,15,91,s. xv,15,15,1401,1500,,,,,7/20/2012 14:26:52,1,0,"Vienna, Österreichische Nationalbibliothek, lat. 9394 (s. xv).",lat.,9394,,lat. 9394,90,,Rouge-Cloître near Brussels
1135,Vit.Cuthb.pr.,,,99,2738,,"Wolfenbüttel, Herzog-August-Bibliothek, 2738",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Wolfenbüttel, Herzog-August-Bibliothek, 2738 (s. xii).",,2738,,2738,90,,
1136,Mart.,,,70,Lat. liturg. d. 43,,"Oxford, Bodleian Library, Lat. liturg. d. 43",,,,,,,,,14,79,s. xiv,14,14,1301,1400,,,,,7/25/2012 14:07:45,1,0,"Oxford, Bodleian Library, Lat. liturg. d. 43 (s. xiv).",Lat. liturg. d.,43,,Lat. liturg. d. 43,91,,Rome
1137,Mart.,,,162,L III 8,,"Escorial, El, Real Biblioteca de San Lorenzo de El Escorial, L III 8",,,,,,,,,10,31,s. x,10,10,901,1000,,,,,7/20/2012 14:35:03,1,0,"Escorial, El, Real Biblioteca de San Lorenzo de El Escorial, L III 8 (s. x).",L III,8,,L III 8,91,,Senlis
1138,Mart.,,,10,Add. 14801,,"London, British Library, Add. 14801",,,,,,,,,9,22,s. ix (1),9,9,801,850,,,,,7/20/2012 14:13:20,1,0,"London, British Library, Add. 14801 (s. ix1).",Add.,14801,,Add. 14801,91,,Ste Marie de Transtévère
1139,Mart.,,,10,Add. 19725,,"London, British Library, Add. 19725",,,,,,,,,10,34,s. x (1),10,10,901,950,,,,,7/20/2012 14:07,1,0,"London, British Library, Add. 19725 (s. x1).",Add.,19725,,Add. 19725,91,,
1140,Mart.,,,86,179,,"Monte Cassino, Archivio della badia, 179",,,,,,,,,11,46,s. xi (1),11,11,1001,1050,,,,,7/20/2012 12:10:49,1,0,"Monte Cassino, Archivio della badia, 179 (s. xi1).",,179,,179,91,,S. Nicola della Cicogna
1141,Mart.,,,85,H 410,,"Montpellier, Bibliothèque de la Faculté de Médecine, H 410",,,,,,,,,9,30,s. ix-x,9,10,876,925,,,,,7/20/2012 14:13:22,1,0,"Montpellier, Bibliothèque de la Faculté de Médecine, H 410 (s. ix-x).",H,410,,H 410,91,"Bischoff, Kat., no. 2872.",
1142,Mart.,,,67,Clm 15818,,"Munich, Bayerische Staatsbibliothek, Clm 15818",,,,,,,,,9,19,s. ix,9,9,801,900,,,,,7/20/2012 14:09:10,1,0,"Munich, Bayerische Staatsbibliothek, Clm 15818 (s. ix).",Clm,15818,,Clm 15818,91,"Bischoff, Kat., no. 3288.",Salzburg
1143,Mart.,,,81,lat. 5552,,"Paris, Bibliothèque nationale de France, lat. 5552",,,,,,,,,9,29,s. ix (ex),9,9,876,900,,,,,7/20/2012 14:26:52,1,0,"Paris, Bibliothèque nationale de France, lat. 5552 (s. ixex).",lat.,5552,,lat. 5552,92,,Limoges
1144,Mart.,,,231,F 85,,"Rome, Biblioteca Vallicelliana, F 85",,,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 14:13:27,1,0,"Rome, Biblioteca Vallicelliana, F 85 (s. xi).",F,85,,F 85,92,,Rome
1145,Mart.,,,95,451,,"St. Gall, Stiftsbibliothek, 451",,,,,,,,,9,24,s. ix (med),9,9,826,875,,,,,7/20/2012 12:10:49,1,0,"St. Gall, Stiftsbibliothek, 451 (s. ixmed).",,451,,451,92,,St Gall
1146,Mart.,,,109,H 58,,"Vatican City, Vatican Library, H 58",,,,,,,,,12,56,s. xii (in),12,12,1101,1125,,,,,7/20/2012 14:13:29,1,0,"Vatican City, Vatican Library, H 58 (s. xiiin).",H,58,,H 58,92,,
1147,Mart.,,,109,Barb. XIV 19,,"Vatican City, Vatican Library, Barb. XIV 19",,,,,,,,,10,31,s. x,10,10,901,1000,,,,,7/20/2012 14:35:03,1,0,"Vatican City, Vatican Library, Barb. XIV 19 (s. x).",Barb. XIV,19,,Barb. XIV 19,92,,Italian
1148,Mart.,,,109,Ottob. lat. 3,,"Vatican City, Vatican Library, Ottob. lat. 3",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:35:03,1,0,"Vatican City, Vatican Library, Ottob. lat. 3 (s. xii).",Ottob. lat.,3,,Ottob. lat. 3,92,,
1149,Mart.,,,109,Ottob. lat. 38,,"Vatican City, Vatican Library, Ottob. lat. 38",,,,,,,,,,,,,,,,,,,,7/20/2012 14:35:03,1,0,"Vatican City, Vatican Library, Ottob. lat. 38 ().",Ottob. lat.,38,,Ottob. lat. 38,92,,
1150,Mart.,,,109,Ottob. lat. 313,,"Vatican City, Vatican Library, Ottob. lat. 313",,,,,,,,,9,22,s. ix (1),9,9,801,850,,,,,7/20/2012 14:35:03,1,0,"Vatican City, Vatican Library, Ottob. lat. 313 (s. ix1).",Ottob. lat.,313,,Ottob. lat. 313,92,"Bischoff, Kat., [vol. 3].",
1151,Mart.,,,109,Pal. lat. 833,,"Vatican City, Vatican Library, Pal. lat. 833",,,folios,,,,,,9,19,s. ix,9,9,801,900,Germany,Lorsch,,,7/20/2012 14:35:03,1,0,"Vatican City, Vatican Library, Pal. lat. 833 (s. ix, Lorsch).",Pal. lat.,833,,Pal. lat. 833,92,"Bischoff, Kat., [vol. 3].",Germany; Lorsch; Lorsch
1152,Mart.,,,109,Pal. lat. 834,,"Vatican City, Vatican Library, Pal. lat. 834",,,folios,,,,,,9,23,s. ix (2/4),9,9,826,850,,,,,7/20/2012 14:35:03,1,0,"Vatican City, Vatican Library, Pal. lat. 834 (s. ix2/4).",Pal. lat.,834,,Pal. lat. 834,92,"Bischoff, Kat., [vol. 3].",Lorsch
1153,Mart.,,,109,Reg. lat. 435,,"Vatican City, Vatican Library, Reg. lat. 435",,,,,,,,,,,,,,,,,,,,7/20/2012 14:35:03,1,0,"Vatican City, Vatican Library, Reg. lat. 435 ().",Reg. lat.,435,,Reg. lat. 435,92,,
1154,Mart.,,,229,65,,"Verona, Biblioteca Capitolare, 65",,,,,,,,,9,22,s. ix (1),9,9,801,850,,,,,7/20/2012 12:10:49,1,0,"Verona, Biblioteca Capitolare, 65 (s. ix1).",,65,,65,92,,
1155,Mart.,,,101,Theol. fol. 49,,"Würzburg, Universitätsbibliothek, Theol. fol. 49",,,,,,,,,9,19,s. ix,9,9,801,900,,,,,7/20/2012 14:35:03,1,0,"Würzburg, Universitätsbibliothek, Theol. fol. 49 (s. ix).",Theol. fol.,49,,Theol. fol. 49,92,"Bischoff, Kat., [vol. 3].",
1156,Mart.,,,205,Car C 176,,"Zurich, Zentralbibliothek, Car C 176",,fols. 113-136v,,,,,,,1011,42,s. x-xi,10,11,976,1025,,,,,7/20/2012 14:35:03,4,0,"Zurich, Zentralbibliothek, Car C 176 (s. x-xi).",Car C,176,,Car C 176,"92, 144, 147, 151",,St Gall?
1157,Hist.eccl.,,,1,326,,"Admont, Stiftsbibliothek, 326",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Admont, Stiftsbibliothek, 326 (s. xii).",,326,,326,94,,
1158,Hist.eccl.,,,1,552,,"Admont, Stiftsbibliothek, 552",,,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 12:10:49,1,0,"Admont, Stiftsbibliothek, 552 (s. xiii).",,552,,552,94,,
1159,Hist.eccl.,,,19,Hist. 3,,"Bamberg, Staatsbibliothek, Hist. 3",,fols. 235-350,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 13:44:41,1,0,"Bamberg, Staatsbibliothek, Hist. 3 (s. xi).",Hist.,3,,Hist. 3,94,,Chapter library
1160,Hist.eccl.,,,25,Hamilton 70,,"Berlin, Staatsbibliothek Preußischer Kulturbesitz, Hamilton 70",,,,,,,,,10,31,s. x,10,10,901,1000,,,,,7/20/2012 13:56,1,0,"Berlin, Staatsbibliothek Preußischer Kulturbesitz, Hamilton 70 (s. x).",Hamilton,70,,Hamilton 70,94,,
1161,Hist.eccl.,,,25,lat. fol. 378,,"Berlin, Staatsbibliothek Preußischer Kulturbesitz, lat. fol. 378",,,,,,,,,1011,42,s. x-xi,10,11,976,1025,,,,,7/20/2012 14:35:03,1,0,"Berlin, Staatsbibliothek Preußischer Kulturbesitz, lat. fol. 378 (s. x-xi).",lat. fol.,378,,lat. fol. 378,94,,
