id,work,text_type,excluded?,repo_id,shelfmark,notes,citation,support,length,numbered_by,,,blank,binding,fragment?,,,dating,cent_begin,cent_end,year_begin,year_end,origin_country,origin_place,provenance,intials,timestamp,,,lk_entry,sm_alpha_part,sm_num_part,sm_suffix,sm_joined,lk_pages,references,locale_opinions
26,Exp.Act.apost.,,,135,Aug. perg. 43,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 43",,,,,,,,,9,22,s. ix (1),9,9,801,850,,,,,7/20/2012 14:26:30,3,0,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 43 (s. ix1).",Aug. perg.,43,,Aug. perg. 43,"21, 27, 33","Bischoff, Kat., no. 1598.",Reichenau; Reichenau; Reichenau
27,Exp.Act.apost.,,,135,Aug. perg. 77,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 77",,,,,,,,,9,22,s. ix (1),9,9,801,850,,,,,7/20/2012 14:26:33,2,0,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 77 (s. ix1).",Aug. perg.,77,,Aug. perg. 77,"21, 23","Bischoff, Kat., no. 1613.",Reichenau; Reichenau
28,Exp.Act.apost.,,,135,Aug. perg. 153,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 153",,,,,,,,,9,22,s. ix (1),9,9,801,850,,,,,7/20/2012 14:26:34,3,0,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 153 (s. ix1).",Aug. perg.,153,,Aug. perg. 153,"21, 27, 33","Bischoff, Kat., no. 1670.",Reichenau; Reichenau; Reichenau
29,Exp.Act.apost.,,,173,110,,"Laon, Bibliothèque municipale, 110",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,2,0,"Laon, Bibliothèque municipale, 110 (s. xii).",,110,,110,"21, 33",,Cuissy; Cuissy
30,Exp.Act.apost.,,,177,145,,"Liège, Bibliothèque de l’Université, 145",,,,,,,,,15,91,s. xv,15,15,1401,1500,,,,,7/20/2012 12:10:49,4,0,"Liège, Bibliothèque de l’Université, 145 (s. xv).",,145,,145,"21, 28, 33, 52",,Couvent des Croisiers; Couvent des Croisiers; Couvent des Croisiers; Couvent des Croisiers
31,Exp.Act.apost.,,,182,55,,"Lisbon, Biblioteca Nacional, 55",,,,,,,,,13,67,s. xiii,13,13,1201,1300,,,,,7/20/2012 12:10:49,1,0,"Lisbon, Biblioteca Nacional, 55 (s. xiii).",,55,,55,21,,
32,Exp.Act.apost.,,,10,Add. 6047,,"London, British Library, Add. 6047",,,,,,,,,15,91,s. xv,15,15,1401,1500,,,,,7/20/2012 14:13:21,2,0,"London, British Library, Add. 6047 (s. xv).",Add.,6047,,Add. 6047,"21, 23",,
33,Exp.Act.apost.,,,10,Add. 10948,,"London, British Library, Add. 10948",,,,,,,,,15,91,s. xv,15,15,1401,1500,,,,,7/20/2012 14:05:58,2,0,"London, British Library, Add. 10948 (s. xv).",Add.,10948,,Add. 10948,"21, 52",,Huisburg; Huisburg
34,Exp.Act.apost.,,,10,Harley 649,,"London, British Library, Harley 649",,,,,,,,,12,63,s. xii (2),12,12,1151,1200,,,,,7/20/2012 14:07:46,4,0,"London, British Library, Harley 649 (s. xii2).",Harley,649,,Harley 649,"21, 33, 68, 80",,English
35,Exp.Act.apost.,,,10,Harley 1915,,"London, British Library, Harley 1915",,,,,,,,,13,70,s. xiii (1),13,13,1201,1250,,,,,7/20/2012 14:07:27,2,0,"London, British Library, Harley 1915 (s. xiii1).",Harley,1915,,Harley 1915,"21, 23",,English; English
